codigo_atv,nombre_atv,codigo_tribu,nombre_tribu
15001,CAZA ORDINARIA MEDIANTE TRAMPAS Y REPOBLACION DE ANIMALES DE CAZA INCLUSO LAS ACTIVIDADES DE SERVICIOS CONEXAS.,0170.0,Caza ordinaria mediante trampas y actividades de servicio conexas
20002,EXTRACCION Y/O VENTA DE MADERA,0220.0,Extracción de madera
50003,CRIADERO DE PECES CRUSTACEOS O MOLUSCOS. COMERCIALIZACION DE LARVAS DE ESPECIES MARINAS,0321.0,Acuicultura marina
101001,EXTRACCION Y AGLOMERACION DE CARBON DE PIEDRA,0510.0,Extracción de carbón de piedra
111001,EXTRACCION DE PETROLEO CRUDO Y GAS NATURAL,0620.0,Extracción de gas natural
120001,EXTRACCION DE MINERALES DE URANIO Y TORIO,0721.0,Extracción de minerales metalíferos no ferrosos
141001,EXTRACCION DE PIEDRA ARENA Y ARCILLA,0810.0,Extracción de piedra arena y arcilla
142101,EXTRACCION DE MINERALES Y SUSTANCIAS PARA LA FABRICACION DE ABONOS,0891.0,Extracción de minerales para la fabricación de abonos y productos químicos
142201,EXTRACCION DE SAL,0893.0,Extracción de sal
151101,ELABORACION Y CONSERVACION DE CARNE Y EMBUTIDOS DE GANADO VACUNO PORCINO Y DE AVES,1010.9,Elaboración y conservación de otro tipo de carnes n.c.p
151201,ELABORACION Y CONSERVACION DE PESCADO Y SUS DERIVADOS,1020.0,Elaboración y conservación de pescados crustáceos y moluscos
151401,ELABORACION DE ACEITES Y GRASAS DE ORIGEN VEGETAL Y ANIMAL,1040.0,Elaboración de aceites y grasas de origen vegetal y animal
153103,BENEFICIO DE ARROZ,1061.1,Beneficio de arroz
153201,ELABORACION DE PRODUCTOS DERIVADOS DE ALMIDON,1062.0,Elaboración de almidones y productos derivados del almidón
155403,ELABORACION DE BEBIDAS NO ALCOHOLICAS / GASEOSAS / AGUA MINERAL Y DE MANANTIAL,1104.0,Elaboración de bebidas no alcohólicas; producción de aguas minerales y otras aguas embotelladas
160001,ELABORACION DE PRODUCTOS DE TABACO,1200.0,Elaboración de productos de tabaco
171101,FABRICACION DE TODO TIPO DE TELAS Y/O HILOS,1312.0,Tejedura de productos textiles
173001,FABRICACION DE TEJDOS Y ARTICULOS DE PUNTO Y GANCHILLO,1391.0,Fabricación de tejidos de punto y ganchillo
172101,FABRICACION DE ARTICULOS CONFECCIONADOS DE MATERIALES TEXTILES EXEPTO PRENDAS DE VESTIR,1392.0,Fabricación de artículos confeccionados con materiales textiles excepto prendas de vestir
172201,FABRICACION DE TAPICES Y ALFOMBRAS,1393.0,Fabricación de tapices y alfombras
182001,ADOBO Y TENIDO DE PIELES; FABRICACION DE ARTICULOS DE PIEL NATURAL O ARTIFICIAL,1511.0,Curtido y adobo de cueros; adobo y teñido de pieles
191101,FABRICACION DE MALETAS BOLSOS DE MANO Y ARTICULOS SIMILARES,1512.0,Fabricación de maletas bolsos de mano y de artículos similares y artículos de talabartería o guarnicione
192001,FABRICACION DE TODO TIPO DE ZAPATOS EXEPTO EL ORTOPEDICO,1520.0,Fabricación de calzado
201002,ASERRADO Y ACEPILLADURA DE MADERA,1610.0,Aserrado y acepilladura de madera
202101,FABRICACION DE HOJAS DE MADERA PARA ENCHAPADO Y TABLEROS COMO PLYWOOD DURPANEL Y SIMILARES,1621.0,Fabricación de hojas de madera para enchapado y tableros a base de madera
210101,FABRICACION DE PAPEL Y CARTON Y ENVASES DE PAPEL Y CARTON,1701.0,Fabricación de pasta de madera papel y cartón
210201,FABRICACION DE OTROS ARTICULOS DE PAPEL Y CARTON,1709.0,Fabricación de otros artículos del papel y cartón
223001,REPRODUCCION DE GRABACIONES,1820.0,Reproducción de grabaciones
241201,FABRICACION DE ABONOS Y COMPUESTOS DE NITROGENO (ORGANICOS Y QUIMICOS),2012.0,Fabricación abonos y compuestos de nitrógeno
242101,FABRICACION DE PLAGUICIDAS Y OTROS PRODUCTOS QUIMICOS DE USO AGROPECUARIO,2021.0,Fabricación de plaguicidas y de otros productos químicos de uso agropecuario
242404,FABRICACION DE JABONES DE TOCADOR,2023.2,Fabricación de perfumes y preparados de tocador
243001,FABRICACION DE FIBRAS SINTETICAS,2030.0,Fabricación de fibras artificiales
242301,FABRICACION PRODUCTOS FARMACEUTICOS SUSTANCIAS QUIMICAS YPRODUCTOS BOTANICOS,2100.0,Fabricación de productos farmacéuticos sustancias químicas medicinales y de productos botánicos de u
251901,FABRICACION DE OTROS PRODUCTOS DE CAUCHO,2219.0,Fabricación de otros productos de caucho
252001,FABRICACION DE ARTICULOS DE PLASTICO,2220.9,Fabricación de otros productos de plástico
261001,FABRICACION DE VIDRIO Y PRODUCTOS DE VIDRIO,2310.0,Fabricación de vidrio y de productos de vidrio
269201,FABRICACION DE PRODUCTOS DE CERAMICA REFRACTARIA,2391.0,Fabricación de productos refractarios
269301,FABRICACION DE PRODUCTOS DE ARCILLA Y CERAMICA NO REFRACTARIAS PARA USO ESTRUCTURAL,2392.0,Fabricación de material de arcilla para la construcción
269101,FABRICACION PRODUCTOS DE CERAMICA BARRO LOZA Y/O PORCELANANO REFRACTARIA USO NO ESTRUCTURAL,2393.0,Fabricación de otros productos de cerámica y porcelana
269501,FABRICACION DE ARTICULOS DE CEMENTO YESO Y HORMIGON PARA LA CONSTRUCCION,2395.0,Fabricación de artículos de hormigón de cemento y de yeso
269601,CORTE TALLADO Y ACABADO DE LA PIEDRA,2396.0,Corte tallado y acabado de la piedra
269901,FABRICACION DE OTROS PRODUCTOS MINERALES NO METALICOS N.C.P.,2399.0,Fabricación de otros productos minerales no metálicos n.c.p
